timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0,-0.19720126688480377,-0.06591129302978516,0.08588441461324692,-0.14283150434494019,0.4316970109939575,0.9160370230674744
0.02,-0.3026593327522278,-0.37482887506484985,0.19879911839962006,-0.19315649569034576,0.3713679909706116,0.8305454850196838
0.04,-0.4304873049259186,-0.2725664973258972,0.27323228120803833,-0.06929599493741989,0.4773860275745392,1.0096110105514526
0.06,-0.21957115828990936,-0.11065108329057693,0.13488513231277466,-0.006283000111579895,0.4395354986190796,1.0706719160079956
0.08,0.010386021807789803,0.10865376889705658,0.06457975506782532,-0.006283000111579895,0.4395354986190796,1.0706719160079956
0.1,0.4428706169128418,0.6263570189476013,0.09227581322193146,-0.08518649637699127,0.422668993473053,1.0709160566329956
0.12,0.5366111397743225,0.6231613159179688,0.13488513231277466,-0.08762650191783905,0.4207170009613037,0.9575780034065247
0.14,0.548328697681427,0.5507254600524902,0.21371237933635712,-0.10153450071811676,0.4265730082988739,0.938027560710907
0.16,0.4524577260017395,0.811574399471283,0.08375394344329834,-0.10153450071811676,0.4265730082988739,0.938027560710907
0.18,0.3672390878200531,0.706249475479126,-0.10585752874612808,-0.01067500002682209,0.48348596692085266,0.8474119901657104
0.2,0.2937380075454712,0.528355598449707,-0.04726971685886383,-0.19044199585914612,0.41242098808288574,0.8618080019950867
0.22,0.22130216658115387,0.7242252826690674,0.04966649040579796,-0.22685900330543518,0.4090050160884857,0.8762344717979431
0.24,0.3469996452331543,0.2790910601615906,0.15618979930877686,-0.23637501895427704,0.41583701968193054,0.8989570140838623
0.26,0.1318225860595703,-1.598515272140503,-0.10479229688644409,-0.19632850587368011,0.4287690222263336,0.7980629801750183
0.28,0.04340824484825134,-2.9265944957733154,-0.29227331280708313,-0.07807999849319458,0.383354514837265,0.7887910008430481
0.3,0.3267602324485779,-2.553762912750244,-0.732081413269043,0.09631899744272232,0.4273050129413605,1.007902979850769
0.32,0.699458658695221,-1.1734873056411743,-0.5904054045677185,-0.14673548936843872,0.574131965637207,1.1099865436553955
0.34,0.6376751065254211,-0.6484606266021729,-0.11757509410381317,-0.4110485017299652,0.570472002029419,0.94388347864151
0.36,0.15099677443504333,-0.41850343346595764,-0.05472634732723236,-0.04315749928355217,0.5577535033226013,0.707691490650177
0.38,-0.10559122264385223,-0.4323514401912689,-0.005725627299398184,-0.049989499151706696,0.5492135286331177,0.7416380047798157
0.4,-0.11091738939285278,-0.7752233147621155,0.04220985993742943,-0.07027199864387512,0.5169749855995178,0.8146854639053345
0.42,-0.11517832428216934,-0.6505910754203796,0.06031882017850876,-0.03705750033259392,0.5301510095596313,0.8518040180206299
0.44,-0.1418091505765915,-0.43022099137306213,0.03901416063308716,0.014731500297784805,0.5025485157966614,0.8520479798316956
0.46,-0.22170162200927734,-0.015845341607928276,0.04327509179711342,0.0003355000226292759,0.5025485157966614,0.8679384589195251
0.48,-0.20359265804290771,-0.08828118443489075,0.03901416063308716,0.018147500231862068,0.4988884925842285,0.8657119870185852
0.5,-0.30478981137275696,-0.17669552564620972,0.12742850184440613,-0.02214300073683262,0.5308830142021179,0.8229815363883972
0.52,-0.33994248509407043,-0.007323476951569319,0.1306242048740387,-0.021167000755667686,0.5223429799079895,0.8461920619010925
0.54,-0.23341917991638184,0.2343512624502182,0.04007939249277115,0.07359649986028671,0.49278849363327026,0.9529420137405396
0.56,-0.15565717220306396,0.2034595012664795,-0.1037270650267601,0.036965999752283096,0.4903485178947449,0.9822524785995483
0.58,-0.066177599132061,0.008655018173158169,-0.13887976109981537,0.07335250079631805,0.45661550760269165,0.9553819894790649
0.6,0.12117026001214981,-0.08934641629457474,-0.11970555782318115,0.030865998938679695,0.47543400526046753,0.938027560710907
0.62,0.16910573840141296,0.0011983871227130294,-0.05259587988257408,-0.0441334992647171,0.5196590423583984,0.9390035271644592
0.64,0.16164910793304443,-0.18095645308494568,-0.15379302203655243,0.00692349998280406,0.4842180013656616,0.8957849740982056
0.66,0.16697527468204498,-0.4952002167701721,-0.2006632685661316,0.09168300032615662,0.4202290177345276,0.8596120476722717
0.68,0.1957365721464157,-0.3588503897190094,-0.21664176881313324,0.09168300032615662,0.4202290177345276,0.8596120476722717
0.7,0.2798899710178375,-0.08402025699615479,0.02090519852936268,-0.1012905016541481,0.59170001745224,0.8581479787826538
0.72,0.17336668074131012,-0.1671084314584732,0.2529928386211395,-0.1012905016541481,0.59170001745224,0.8581479787826538
0.74,0.029560215771198273,-0.5962641835212708,0.5171706080436707,-0.02778550237417221,0.5040124654769897,0.773144543170929
0.76,-0.06830807030200958,-0.7560491561889648,1.2829400300979614,-0.02778550237417221,0.5040124654769897,0.773144543170929
0.78,-0.13648298382759094,-0.038215234875679016,1.8697502613067627,0.06822849810123444,0.4412434995174408,0.7833924889564514
0.8,-0.34633389115333557,-0.28854498267173767,2.3074278831481934,0.22676749527454376,0.4458795189857483,0.6495585441589355
0.82,-0.3985303044319153,-1.4089038372039795,0.6066502332687378,0.5435709953308105,0.6178385019302368,0.6922889947891235
0.84,-0.19187510013580322,-1.2363361120224,-0.09733566641807556,0.49693650007247925,0.5421069860458374,0.8156614899635315
0.86,-0.08854749798774719,0.18322007358074188,0.1721682846546173,0.21746499836444855,0.3366895020008087,0.9871324896812439
0.88,-0.5902722477912903,0.7924002408981323,0.1721682846546173,0.2946605086326599,0.3799385130405426,0.8300575017929077
